date,ticker,high,low,open,prev close,close,change,% change,volume,turnover,deals,bids,offers,mktcap
2026-08-12,TBL,10000,9950,9970,9980,9980,0.1,9.98,5060,50476440,32,1087,2971,2944.7
2026-08-12,TCC,12500,12500,12500,12500,12500,0.0,0.0,137,1712500,9,10035,143,1250.0
2026-08-12,TCCL,4000,3570,3660,3610,3610,,,8317,30170750,34,23718,20520,689.6
2026-08-12,TOL,1460,1450,1460,1450,1450,,,3728,5414110,25,1581,24069,83.4
2026-08-12,TPCC,5950,5900,5870,5950,5950,1.36,80.92,856,5087050,19,16291,0,1070.5
2026-08-12,TTP,450,440,450,450,450,0.0,0.0,209,93910,7,63,530,42.8
2026-08-12,USL,0,0,30,0,30,0.0,0.0,0,0,0,2357,0,11.0
2026-08-12,VERTEX-ETF,330,315,320,320,320,0.0,0.0,39257,12585575,129,4596,98040,17.3
2026-08-12,VODA,1030,1000,1010,1010,1010,0.0,0.0,163828,165786720,235,102833,155213,2262.4
2026-08-12,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-13,AFRIPRISE,640,620,630,625,625,,,123233,77071300,237,12252,71509,91.3
2026-08-13,CRDB,2730,2640,2620,2700,2700,3.05,82.35,299605,807856780,1130,462792,85287,7052.0
2026-08-13,DCB,450,410,405,420,420,3.7,15.540000000000004,5530,2313080,83,52930,20283,80.5
2026-08-13,DSE,6300,6200,6220,6300,6300,1.29,81.27,617,3879700,16,2603,218,150.1
2026-08-13,EABL,0,0,5530,0,5580,0.9,50.220000000000006,0,0,0,47,0,4412.5
2026-08-13,IEACLC-ETF,1360,1340,1360,1340,1340,,,36052,48394360,69,121454,65390,186.1
2026-08-13,JATU,0,0,265,0,265,0.0,0.0,0,0,0,0,360,5.3
2026-08-13,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,111,0,626.9
2026-08-13,KA,0,0,110,0,110,0.0,0.0,0,0,0,314,0,625.0
2026-08-13,KCB,1970,1930,1930,1970,1970,2.07,40.779,93744,184222190,62,11967,38354,5851.6
2026-08-13,MBP,1700,1690,1700,1690,1690,,,2589,4381010,24,3266,9218,50.7
2026-08-13,MCB,470,400,455,440,440,,,255898,112975535,357,7769,203410,108.8
2026-08-13,MKCB,3800,3760,3820,3790,3790,,,1437,5448810,17,469,5965,89.3
2026-08-13,MUCOBA,470,465,465,465,465,0.0,0.0,459,213620,11,2150,3589,15.2
2026-08-13,NICO,3650,3600,3660,3640,3640,,,14739,53602300,83,2739,8987,224.4
2026-08-13,NMB,17700,17610,17600,17650,17650,0.28,49.42000000000001,159601,2817334500,416,16961,15880,8825.0
2026-08-13,NMG,0,0,280,0,280,0.0,0.0,0,0,0,198,0,52.8
2026-08-13,PAL,345,300,300,340,340,13.33,45.322,6864,2307325,64,3469,1553,54.6
2026-08-13,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
2026-08-13,SWIS,2600,2450,2590,2570,2570,,,3433,8813300,33,12559,709,92.5
2026-08-13,TBL,9980,9900,9980,9950,9950,,,2020,20093160,32,970,1241,2935.8
2026-08-13,TCC,12500,12300,12500,12500,12500,0.0,0.0,371,4609500,13,9945,1069,1250.0
2026-08-13,TCCL,4100,3610,3610,3900,3900,8.03,313.17,5714,22346180,33,20714,2200,745.0
2026-08-13,TOL,1470,1460,1450,1460,1460,0.69,10.074,2871,4193660,34,1696,24748,84.0
2026-08-13,TPCC,6000,5850,5950,5950,5950,0.0,0.0,765,4555900,23,10812,0,1070.5
2026-08-13,TTP,465,450,450,450,450,0.0,0.0,224,104010,9,86,1409,42.8
2026-08-13,USL,0,0,30,0,30,0.0,0.0,0,0,0,3484,0,11.0
2026-08-13,VERTEX-ETF,335,330,320,330,330,3.13,10.329,30670,10170535,166,10532,33989,17.8
2026-08-13,VODA,1030,1010,1010,1010,1010,0.0,0.0,123562,125292310,210,164519,172099,2262.4
2026-08-13,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-14,AFRIPRISE,630,620,625,625,625,0.0,0.0,51667,32287830,165,21261,78845,91.3
2026-08-14,CRDB,2720,2680,2700,2700,2700,0.0,0.0,390325,1052659120,1346,332026,68633,7052.0
2026-08-14,DCB,480,440,420,465,465,10.71,49.8015,61036,28346610,79,137957,0,89.1
2026-08-14,DSE,6570,6500,6300,6570,6570,4.29,281.853,285,1871750,13,3092,459,156.5
2026-08-14,EABL,0,0,5580,0,5590,0.18,10.062,0,0,0,47,0,4420.4
2026-08-14,IEACLC-ETF,1350,1340,1340,1340,1340,0.0,0.0,10632,14287470,46,103892,66568,189.1
2026-08-14,JATU,0,0,265,0,265,0.0,0.0,0,0,0,0,360,5.3
2026-08-14,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,111,0,626.9
2026-08-14,KA,0,0,110,0,110,0.0,0.0,0,0,0,168,0,625.0
2026-08-14,KCB,1960,1940,1970,1950,1950,,,22888,44643680,41,16139,37220,5792.2
2026-08-14,MBP,1700,1650,1690,1680,1680,,,6307,10576380,42,1981,6325,50.4
2026-08-14,MCB,470,395,440,405,405,,,189296,76744885,256,23652,43610,100.2
2026-08-14,MKCB,3790,3500,3790,3760,3760,,,2079,7809770,20,1254,9834,88.6
2026-08-14,MUCOBA,470,450,465,455,455,,,747,339550,12,2060,10793,14.9
2026-08-14,NICO,4000,3650,3640,3820,3820,4.95,189.09,26571,101531480,145,15795,2447,235.5
2026-08-14,NMB,17950,17650,17650,17700,17700,0.28,49.56000000000001,202667,3582788330,461,72424,247,8850.0
2026-08-14,NMG,0,0,280,0,275,,,0,0,0,138,0,51.9
2026-08-14,PAL,355,345,340,345,345,1.47,5.0715,3560,1228510,29,1721,18095,55.4
2026-08-14,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
2026-08-14,SWIS,2600,2600,2570,2570,2570,0.0,0.0,587,1526200,20,13099,1422,92.5
2026-08-14,TBL,9950,9900,9950,9930,9930,,,1444,14350900,29,552,970,2929.9
2026-08-14,TCC,12500,12500,12500,12500,12500,0.0,0.0,1069,13362500,2,10147,0,1250.0
2026-08-14,TCCL,4100,3660,3900,3950,3950,1.28,50.56,200840,643331900,19,9525,3627,754.5
2026-08-14,TOL,1500,1470,1460,1490,1490,2.05,30.544999999999995,1686,2505850,27,2848,3900,85.7
2026-08-14,TPCC,6060,6000,5950,6050,6050,1.68,101.64,252884,1504962160,23,8660,10,1088.5
2026-08-14,TTP,475,450,450,450,450,0.0,0.0,236,109540,14,1090,1013,42.8
2026-08-14,USL,0,0,30,0,30,0.0,0.0,0,0,0,2778,0,11.0
2026-08-14,VERTEX-ETF,345,330,330,335,335,1.52,5.092,47907,16113210,150,3294,15521,18.1
2026-08-14,VODA,1030,1010,1010,1020,1020,0.99,10.098,123675,126296500,140,139041,153707,2284.8
2026-08-14,YETU,0,0,510,0,510,0.0,0.0,0,0,0,0,0,6.2
2026-08-17,AFRIPRISE,625,615,625,620,620,,,84208,52396820,240,10068,65499,90.5
2026-08-17,CRDB,2710,2670,2700,2690,2690,,,331433,890288340,1559,236065,223858,7025.9
2026-08-17,DCB,530,480,465,530,530,13.98,74.09400000000001,973402,363617115,254,154767,0,101.5
2026-08-17,DSE,6600,6570,6570,6570,6570,0.0,0.0,3035,19949900,43,2191,1569,156.5
2026-08-17,EABL,0,0,5590,0,5600,0.18,10.08,0,0,0,47,0,4428.3
2026-08-17,IEACLC-ETF,1370,1340,1340,1360,1360,1.49,20.264,96817,131474760,102,102335,62489,191.9
2026-08-17,JATU,0,0,265,0,265,0.0,0.0,0,0,0,20,400,5.3
2026-08-17,JHL,0,0,8650,0,8650,0.0,0.0,0,0,0,235,0,626.9
2026-08-17,KA,0,0,110,0,120,9.09,10.908,0,0,0,150,0,681.8
2026-08-17,KCB,1960,1950,1950,1960,1960,0.51,9.996,11884,23251230,63,11033,29998,5821.9
2026-08-17,MBP,1790,1650,1680,1690,1690,0.6,10.14,1492,2519700,25,563,1230,50.7
2026-08-17,MCB,430,395,405,405,405,0.0,0.0,232253,93664355,262,34409,18137,100.2
2026-08-17,MKCB,3790,3700,3760,3780,3780,0.53,20.034,3963,14962900,27,923,7491,89.0
2026-08-17,MUCOBA,450,450,455,450,450,,,1072,482400,7,35,7341,14.7
2026-08-17,NICO,4200,3850,3820,3990,3990,4.45,177.555,35852,143267160,165,13796,4904,246.0
2026-08-17,NMB,18000,17680,17700,17710,17710,0.06,10.626,168490,2983673110,665,8132,13729,8855.0
2026-08-17,NMG,0,0,275,0,265,,,0,0,0,133,0,50.0
2026-08-17,PAL,350,300,345,320,320,,,3496,1127460,72,32,22891,51.4
2026-08-17,SWALA,0,0,450,0,450,0.0,0.0,0,0,0,0,0,47.8
